DienTich,Phongngu,SoTang,PhongTam,Loai,GiayTo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DacDiem
50.0,1.0,25.0,1.0,2,2,3,6,4,1
73.0,2.0,25.0,2.0,2,1,0,1,3,1
84.0,2.0,21.0,2.0,3,1,1,4,6,1
103.0,3.0,35.0,2.0,2,2,0,1,3,1
71.5,2.0,25.0,2.0,2,2,3,0,6,1
50.0,2.0,15.0,1.0,2,1,2,5,5,1
40.0,1.0,15.0,1.0,2,2,3,5,5,1
37.0,1.0,16.0,1.0,2,2,1,6,3,1
75.0,2.0,5.0,2.0,2,1,3,4,7,1
51.0,1.0,15.0,1.0,2,2,1,5,5,1
62.0,2.0,15.0,2.0,2,0,1,5,5,1
57.0,2.0,15.0,2.0,2,2,1,5,5,1
65.0,2.0,15.0,2.0,2,2,1,5,5,1
53.0,2.0,15.0,1.0,2,0,1,5,7,1
90.0,3.0,9.0,3.0,2,1,2,7,6,1
30.0,1.0,8.0,1.0,2,1,1,5,5,1
52.0,1.0,15.0,1.0,2,1,1,5,5,1
74.0,2.0,15.0,2.0,2,1,2,3,7,1
70.12,2.0,5.0,2.0,2,2,2,1,0,1
61.0,2.0,15.0,2.0,2,1,1,3,7,1
194.0,3.0,45.0,3.0,5,2,2,1,3,1
89.0,3.0,35.0,2.0,2,1,0,7,3,1
160.0,2.0,45.0,2.0,2,2,3,3,3,1
73.0,2.0,5.0,2.0,2,2,1,5,7,1
95.0,2.0,15.0,2.0,2,0,1,4,6,1
40.0,1.0,15.0,1.0,2,0,1,5,5,1
55.0,2.0,15.0,1.0,0,2,2,5,5,1
85.0,3.0,15.0,2.0,2,1,1,5,2,1
50.0,2.0,15.0,1.0,2,2,2,5,5,1
73.0,2.0,15.0,2.0,2,2,3,5,5,1
70.0,2.0,15.0,2.0,2,0,1,5,2,1
48.0,1.0,15.0,1.0,2,2,1,5,5,1
73.0,2.0,3.0,2.0,2,2,2,3,7,1
80.0,2.0,25.0,2.0,2,2,3,7,3,1
46.0,2.0,15.0,1.0,0,0,2,5,5,1
42.0,1.0,15.0,1.0,2,1,3,5,5,1
70.0,2.0,35.0,2.0,2,1,3,1,4,1
36.0,1.0,15.0,1.0,2,2,3,5,5,1
60.0,2.0,15.0,2.0,2,0,1,5,5,1
56.0,2.0,5.0,1.0,2,2,3,1,2,1
73.0,2.0,25.0,2.0,2,2,2,1,3,1
95.0,3.0,35.0,2.0,2,1,2,1,3,1
65.0,2.0,15.0,1.0,2,0,1,5,5,1
194.0,3.0,45.0,3.0,5,2,2,1,3,1
125.0,3.0,20.0,2.0,2,0,0,2,5,1
49.0,2.0,25.0,1.0,2,2,1,6,4,1
83.0,3.0,15.0,2.0,2,1,1,6,6,1
52.0,1.0,15.0,1.0,2,2,1,5,5,1
76.0,2.0,15.0,2.0,2,0,1,5,5,1
65.0,3.0,25.0,2.0,2,2,1,7,3,1
200.0,3.0,26.0,2.0,5,1,1,1,3,1
60.0,2.0,15.0,2.0,2,2,1,5,5,1
71.0,2.0,16.0,2.0,2,1,1,5,6,1
34.0,1.0,1.0,1.0,2,0,1,3,7,1
59.0,2.0,15.0,2.0,2,0,1,5,5,1
67.0,2.0,15.0,2.0,2,0,2,5,5,1
71.0,2.0,10.0,2.0,2,2,2,3,6,1
54.0,2.0,15.0,2.0,2,2,1,5,5,1
74.0,3.0,3.0,2.0,2,1,1,4,7,1
75.0,2.0,10.0,2.0,2,1,1,2,5,1
75.0,2.0,6.0,2.0,2,0,3,1,3,1
72.0,2.0,3.0,2.0,2,1,2,7,2,1
90.0,3.0,1.0,2.0,2,2,3,3,7,1
85.0,3.0,15.0,2.0,2,0,1,1,0,1
194.0,3.0,45.0,3.0,5,2,2,1,3,1
73.6,2.0,20.0,2.0,2,1,2,6,4,1
70.12,2.0,5.0,2.0,2,2,2,1,0,1
61.0,2.0,15.0,2.0,2,1,1,3,7,1
60.0,2.0,14.0,1.0,2,2,3,5,5,1
89.0,3.0,25.0,2.0,2,1,3,1,3,1
68.0,2.0,25.0,2.0,2,2,2,7,0,1
39.0,1.0,15.0,1.0,2,2,2,5,5,1
84.0,3.0,35.0,2.0,2,2,3,1,7,1
88.0,2.0,10.0,2.0,2,2,1,2,1,1
69.0,2.0,14.0,2.0,2,1,0,3,7,1
99.0,2.0,45.0,2.0,2,2,0,1,3,1
85.0,2.0,35.0,2.0,2,2,0,1,3,1
73.0,2.0,8.0,2.0,2,1,1,2,5,1
76.0,2.0,8.0,2.0,2,2,1,0,1,1
69.0,2.0,25.0,2.0,2,1,3,0,6,1
45.0,2.0,3.0,1.0,2,2,2,7,3,1
53.0,2.0,15.0,2.0,2,1,1,5,5,1
10.0,3.0,15.0,3.0,0,2,1,5,5,1
65.0,2.0,25.0,1.0,2,1,2,6,4,1
77.0,3.0,15.0,2.0,2,2,3,4,7,1
85.0,2.0,15.0,2.0,2,0,1,5,2,1
79.0,2.0,12.0,2.0,2,1,2,5,1,1
54.0,2.0,15.0,1.0,2,2,1,5,2,1
194.0,3.0,45.0,3.0,5,2,2,1,3,1
53.0,2.0,15.0,1.0,2,2,1,5,5,1
89.0,3.0,35.0,2.0,2,1,0,7,3,1
160.0,2.0,45.0,2.0,2,2,3,3,3,1
52.0,1.0,6.0,1.0,3,0,1,6,7,1
68.0,2.0,30.0,2.0,2,2,2,6,4,1
100.0,3.0,6.0,2.0,3,1,1,6,7,1
63.0,2.0,15.0,1.0,2,2,1,5,2,1
80.6,4.0,45.0,5.0,0,2,3,0,3,1
55.0,1.0,25.0,1.0,2,1,2,3,3,1
96.0,3.0,45.0,2.0,2,2,0,1,3,1
65.0,2.0,5.0,2.0,2,2,1,3,7,1
40.0,1.0,15.0,1.0,2,1,3,5,5,1
66.0,2.0,5.0,2.0,2,1,3,7,3,1
65.0,2.0,15.0,2.0,2,0,1,5,5,1
72.0,2.0,15.0,2.0,0,2,1,4,7,1
76.0,2.0,15.0,1.0,0,2,1,5,5,1
51.0,1.0,15.0,1.0,2,0,1,5,5,1
63.0,2.0,15.0,2.0,2,2,3,4,7,1
52.0,2.0,1.0,1.0,2,2,1,5,5,1
40.0,1.0,15.0,1.0,2,2,2,5,5,1
70.0,2.0,15.0,2.0,2,1,1,5,5,1
119.25,3.0,15.0,2.0,2,2,3,4,7,1
53.0,2.0,2.0,2.0,1,2,1,4,7,1
73.0,3.0,15.0,2.0,2,1,1,5,5,1
97.6,3.0,6.0,2.0,2,2,2,1,3,1
75.0,2.0,5.0,2.0,2,0,3,7,7,1
72.0,2.0,15.0,2.0,2,0,1,5,5,1
70.12,2.0,5.0,2.0,2,2,2,1,0,1
70.0,2.0,8.0,2.0,2,1,1,3,7,1
80.0,2.0,25.0,2.0,2,2,2,1,3,1
104.0,2.0,15.0,2.0,3,1,3,5,2,1
106.0,3.0,15.0,2.0,2,0,1,5,2,1
80.0,3.0,15.0,2.0,2,1,1,3,7,1
121.0,3.0,12.0,2.0,2,2,2,5,2,1
72.25,2.0,15.0,2.0,2,0,3,5,5,1
64.0,2.0,15.0,2.0,2,1,3,7,3,1
80.0,2.0,10.0,2.0,2,1,2,6,4,1
36.0,2.0,25.0,1.0,2,2,3,3,3,1
38.0,1.0,15.0,1.0,4,1,1,5,5,1
40.0,1.0,6.0,1.0,3,1,3,5,5,1
40.0,1.0,15.0,1.0,0,0,1,5,5,1
51.0,1.0,15.0,1.0,2,1,1,5,5,1
90.0,3.0,35.0,2.0,2,2,0,1,3,1
36.0,2.0,15.0,1.0,3,2,3,5,5,1
54.0,1.0,25.0,1.0,2,2,3,6,7,1
73.0,2.0,25.0,2.0,2,2,2,1,3,1
75.0,2.0,5.0,2.0,2,0,3,7,7,1
70.12,2.0,5.0,2.0,2,2,2,1,0,1
73.0,2.0,25.0,2.0,2,2,2,1,3,1
85.0,3.0,15.0,2.0,2,0,1,1,0,1
70.0,1.0,7.0,1.0,2,1,2,7,3,1
71.42,2.0,25.0,2.0,2,2,2,1,3,1
100.35,3.0,35.0,3.0,2,2,0,1,3,1
62.0,2.0,15.0,1.0,2,0,2,1,1,1
55.0,2.0,5.0,1.0,2,2,1,5,5,1
70.0,2.0,15.0,2.0,2,1,1,7,3,1
72.0,2.0,1.0,2.0,2,2,1,7,3,1
74.34,2.0,25.0,2.0,2,2,2,1,3,1
105.0,3.0,15.0,2.0,2,1,3,4,7,1
53.0,1.0,25.0,1.0,2,2,2,7,3,1
40.0,1.0,15.0,1.0,0,0,1,5,5,1
95.0,3.0,35.0,2.0,2,2,0,6,1,1
70.0,2.0,20.0,2.0,2,0,2,0,7,1
57.0,1.0,15.0,1.0,2,2,3,5,5,1
50.0,2.0,15.0,1.0,2,0,1,5,5,1
53.0,1.0,5.0,1.0,2,0,2,2,5,1
88.0,3.0,15.0,2.0,2,1,1,0,1,1
78.0,2.0,4.0,2.0,2,2,3,3,3,1
42.0,2.0,15.0,1.0,2,2,1,5,5,1
85.0,3.0,15.0,2.0,2,0,1,1,0,1
62.0,2.0,15.0,2.0,2,2,1,5,5,1
75.0,2.0,15.0,2.0,2,2,1,5,2,1
65.0,2.0,15.0,1.0,2,0,1,5,5,1
160.0,2.0,45.0,2.0,2,2,3,3,3,1
94.0,2.0,45.0,2.0,2,1,0,1,3,1
83.0,2.0,15.0,2.0,2,1,1,5,5,1
77.0,2.0,15.0,2.0,2,2,3,1,0,1
93.0,3.0,35.0,2.0,2,1,1,1,3,1
2.0,2.0,1.0,2.0,0,2,1,7,7,1
91.0,3.0,11.0,2.0,2,2,3,1,3,1
81.0,3.0,15.0,2.0,2,2,3,0,1,1
98.0,2.0,35.0,2.0,2,2,0,0,1,1
90.0,2.0,25.0,2.0,2,2,3,2,4,1
68.0,2.0,15.0,2.0,2,2,1,5,5,1
44.0,2.0,5.0,1.0,4,1,3,2,5,1
78.0,2.0,25.0,2.0,2,0,2,3,3,1
70.0,2.0,25.0,1.0,2,2,2,1,3,1
33.0,1.0,15.0,1.0,2,1,1,7,3,1
93.0,3.0,3.0,2.0,2,1,1,0,5,1
58.6,2.0,15.0,2.0,2,2,1,5,5,1
75.0,2.0,15.0,2.0,2,0,3,0,1,1
34.0,1.0,3.0,1.0,4,1,1,5,5,1
70.0,2.0,15.0,2.0,2,2,1,5,5,1
63.0,2.0,7.0,2.0,2,1,1,1,0,1
97.6,3.0,6.0,2.0,2,2,2,1,3,1
61.0,2.0,15.0,2.0,2,1,1,3,7,1
97.0,2.0,25.0,2.0,2,2,1,6,4,1
73.0,2.0,25.0,2.0,2,2,2,1,3,1
75.0,2.0,5.0,2.0,2,0,3,7,7,1
74.0,2.0,23.0,2.0,2,1,1,1,3,1
82.0,3.0,4.0,2.0,2,1,1,5,2,1
105.0,2.0,5.0,2.0,2,2,3,4,6,1
68.0,2.0,6.0,2.0,2,1,3,3,4,1
40.0,1.0,15.0,1.0,1,0,3,5,5,1
93.0,3.0,25.0,2.0,2,1,2,7,3,1
59.0,2.0,24.0,1.0,2,2,1,7,3,1
62.0,2.0,15.0,2.0,2,0,1,5,5,1
69.0,2.0,25.0,2.0,2,0,1,3,4,1
142.0,3.0,45.0,3.0,2,2,0,7,3,1
40.0,1.0,15.0,1.0,2,0,1,5,5,1
84.0,3.0,15.0,1.0,4,0,1,5,5,1
64.15,2.0,5.0,2.0,2,1,3,3,7,1
68.0,2.0,15.0,2.0,2,0,1,2,5,1
85.0,3.0,15.0,2.0,2,0,1,7,7,1
111.0,3.0,45.0,2.0,2,2,0,1,3,1
67.0,2.0,15.0,2.0,2,0,1,5,2,1
40.0,1.0,15.0,1.0,0,0,3,5,5,1
52.0,1.0,15.0,1.0,2,0,1,5,5,1
79.0,2.0,15.0,2.0,2,2,2,5,5,1
75.0,2.0,15.0,2.0,2,2,1,5,2,1
61.0,2.0,15.0,2.0,2,1,1,3,7,1
62.0,2.0,7.0,2.0,2,2,2,3,7,1
62.0,2.0,15.0,2.0,2,2,1,5,5,1
70.0,1.0,7.0,1.0,2,1,2,7,3,1
55.0,2.0,15.0,2.0,2,1,1,5,5,1
59.0,2.0,15.0,2.0,2,0,1,7,5,1
50.0,2.0,5.0,1.0,2,2,3,5,5,1
61.0,2.0,15.0,1.0,2,1,1,5,5,1
86.0,3.0,7.0,1.0,2,2,1,7,7,1
115.0,2.0,15.0,2.0,2,2,2,6,4,1
37.0,1.0,1.0,1.0,2,2,3,5,5,1
43.0,1.0,15.0,1.0,2,1,1,5,5,1
74.0,2.0,15.0,2.0,5,0,1,5,5,1
72.0,2.0,25.0,2.0,2,2,3,6,4,1
80.0,2.0,22.0,2.0,2,0,0,1,3,1
55.0,2.0,15.0,2.0,2,2,1,5,5,1
71.0,2.0,15.0,2.0,2,1,1,5,2,1
69.0,2.0,15.0,2.0,2,1,2,7,4,1
76.0,2.0,25.0,2.0,2,0,1,3,7,1
75.0,2.0,35.0,2.0,2,1,1,7,3,1
64.0,2.0,15.0,2.0,2,2,1,5,5,1
63.0,2.0,1.0,1.0,2,2,3,7,6,1
28.64,1.0,15.0,1.0,4,0,1,5,5,1
70.0,1.0,7.0,1.0,2,1,2,7,3,1
60.45,2.0,18.0,2.0,2,1,1,6,4,1
97.6,3.0,6.0,2.0,2,2,2,1,3,1
56.0,2.0,5.0,1.0,2,2,3,1,2,1
85.0,3.0,15.0,2.0,2,0,1,1,0,1
81.0,2.0,25.0,2.0,2,2,3,7,6,1
75.0,2.0,35.0,2.0,2,1,1,7,3,1
56.0,2.0,15.0,2.0,2,0,1,5,5,1
123.0,3.0,45.0,2.0,2,1,0,1,3,1
77.0,3.0,15.0,2.0,2,0,3,2,1,1
75.0,2.0,15.0,2.0,2,2,3,2,2,1
48.0,1.0,15.0,1.0,2,2,1,5,5,1
83.0,2.0,15.0,2.0,2,2,1,5,5,1
150.0,4.0,15.0,4.0,0,2,3,5,5,1
72.0,3.0,15.0,2.0,2,0,1,5,5,1
73.0,2.0,25.0,2.0,2,2,2,3,3,1
73.0,2.0,15.0,2.0,2,1,1,5,2,1
64.0,2.0,12.0,1.0,2,0,1,2,1,1
72.0,2.0,9.0,2.0,2,2,3,3,7,1
83.0,2.0,25.0,2.0,2,1,2,3,7,1
288.5,4.0,45.0,4.0,4,2,3,6,3,1
50.0,1.0,20.0,1.0,2,1,3,5,5,1
75.0,2.0,25.0,2.0,2,2,2,1,0,1
63.0,2.0,15.0,2.0,2,1,1,5,5,1
62.0,2.0,7.0,2.0,2,2,2,3,7,1
75.0,2.0,15.0,2.0,2,2,1,5,2,1
72.0,2.0,15.0,2.0,2,0,1,5,5,1
85.0,3.0,15.0,2.0,2,0,1,1,0,1
30.0,1.0,4.0,1.0,2,2,1,5,5,1
70.0,2.0,15.0,2.0,2,1,1,1,0,1
84.0,2.0,25.0,2.0,2,2,2,6,4,1
95.0,3.0,5.0,3.0,2,2,3,3,3,1
76.0,2.0,15.0,2.0,2,0,1,5,2,1
70.0,2.0,25.0,2.0,2,1,3,7,6,1
49.0,1.0,15.0,1.0,2,1,1,5,5,1
74.0,1.0,23.0,1.0,2,1,1,1,3,1
97.0,3.0,19.0,2.0,2,1,0,1,3,1
48.0,2.0,15.0,1.0,2,0,1,5,5,1
40.0,2.0,15.0,2.0,2,0,3,5,5,1
65.0,2.0,35.0,2.0,2,0,3,1,3,1
65.0,2.0,15.0,2.0,2,1,1,5,5,1
30.0,1.0,12.0,1.0,2,1,1,1,0,1
52.0,1.0,6.0,1.0,2,2,3,1,6,1
80.0,3.0,25.0,2.0,2,2,2,3,4,1
65.0,2.0,15.0,2.0,2,1,1,5,2,1
71.0,2.0,5.0,2.0,2,1,3,6,4,1
137.8,3.0,45.0,5.0,0,2,2,4,4,1
75.0,2.0,15.0,2.0,2,2,1,5,2,1
61.0,2.0,15.0,2.0,2,1,1,3,7,1
89.0,3.0,35.0,2.0,2,1,0,7,3,1
73.0,3.0,15.0,2.0,2,1,1,5,5,1
68.0,2.0,15.0,2.0,2,1,1,5,2,1
76.0,2.0,15.0,2.0,2,1,3,5,5,1
78.0,2.0,15.0,2.0,2,1,1,5,5,1
51.0,1.0,15.0,1.0,2,0,1,5,2,1
100.0,3.0,25.0,3.0,2,2,2,1,3,1
64.0,2.0,19.0,2.0,2,2,3,4,6,1
67.0,2.0,18.0,2.0,2,1,1,0,5,1
100.0,2.0,10.0,2.0,2,2,1,7,3,1
61.0,2.0,15.0,2.0,2,0,1,0,1,1
68.0,2.0,25.0,1.0,2,1,1,3,3,1
49.0,1.0,15.0,1.0,2,1,3,5,5,1
48.0,2.0,15.0,1.0,2,2,3,7,3,1
54.0,2.0,23.0,2.0,2,0,1,5,5,1
55.0,2.0,15.0,2.0,2,1,1,5,5,1
54.0,2.0,15.0,2.0,2,0,2,5,2,1
54.0,2.0,14.0,1.0,2,2,1,5,2,1
75.0,2.0,15.0,2.0,2,0,1,5,5,1
80.0,3.0,25.0,2.0,2,1,3,0,6,1
65.0,2.0,10.0,2.0,2,2,2,7,1,1
75.0,2.0,25.0,2.0,2,2,2,6,4,1
70.0,1.0,7.0,1.0,2,1,2,7,3,1
73.6,2.0,20.0,2.0,2,1,2,6,4,1
63.0,2.0,15.0,2.0,2,1,1,5,5,1
83.6,3.0,3.0,2.0,2,1,2,1,6,1
60.45,2.0,18.0,2.0,2,1,1,6,4,1
101.0,2.0,35.0,2.0,2,2,3,1,3,1
117.7,3.0,45.0,2.0,2,2,3,1,3,1
35.0,1.0,15.0,1.0,2,0,1,5,5,1
67.0,2.0,15.0,2.0,2,0,1,5,2,1
76.0,2.0,10.0,2.0,2,2,1,1,0,1
75.0,2.0,15.0,2.0,2,1,1,5,5,1
57.0,2.0,10.0,1.0,2,0,1,5,5,1
40.0,1.0,15.0,1.0,2,2,2,5,1,1
40.0,1.0,5.0,1.0,3,0,1,5,5,1
78.0,2.0,25.0,2.0,2,2,2,2,5,1
69.0,2.0,25.0,2.0,2,1,2,3,3,1
82.0,2.0,6.0,1.0,2,2,1,5,2,1
93.0,3.0,15.0,2.0,2,2,2,7,7,1
79.0,2.0,21.0,2.0,4,0,1,5,5,1
63.5,2.0,8.0,1.0,2,1,0,5,5,1
68.0,2.0,15.0,2.0,2,2,2,2,7,1
70.0,2.0,10.0,2.0,2,1,2,7,6,1
239.0,2.0,45.0,2.0,2,2,0,1,3,1
84.0,2.0,17.0,2.0,2,2,2,5,1,1
50.0,1.0,15.0,1.0,2,1,3,6,4,1
50.0,1.0,35.0,1.0,2,1,2,1,3,1
89.0,3.0,35.0,2.0,2,1,0,7,3,1
83.0,2.0,25.0,2.0,2,2,2,3,6,1
72.0,2.0,15.0,2.0,2,0,1,5,5,1
64.0,2.0,15.0,2.0,2,2,1,1,0,1
62.0,2.0,15.0,2.0,2,0,3,2,1,1
85.0,3.0,5.0,2.0,2,1,3,4,7,1
47.0,1.0,27.0,1.0,2,1,1,6,4,1
40.0,1.0,15.0,1.0,2,0,3,5,5,1
76.0,2.0,15.0,2.0,2,1,1,5,5,1
129.0,3.0,45.0,2.0,2,2,0,3,7,1
60.0,2.0,15.0,2.0,2,0,1,5,5,1
83.0,2.0,2.0,2.0,2,2,1,5,5,1
40.0,1.0,6.0,1.0,0,1,3,5,5,1
74.0,2.0,13.0,2.0,2,2,2,6,6,1
320.0,4.0,45.0,3.0,5,1,0,4,6,1
101.2,3.0,35.0,2.0,2,0,1,7,3,1
87.0,1.0,16.0,2.0,0,1,0,2,3,1
64.0,2.0,25.0,2.0,2,2,0,6,4,1
54.0,2.0,8.0,2.0,2,2,1,5,5,1
80.0,3.0,15.0,2.0,2,2,1,5,5,1
65.0,2.0,8.0,2.0,2,1,1,5,2,1
57.0,2.0,15.0,1.0,2,1,3,5,5,1
73.0,2.0,25.0,2.0,2,2,2,1,3,1
89.0,3.0,35.0,2.0,2,1,0,7,3,1
85.0,3.0,15.0,2.0,2,0,1,1,0,1
97.6,3.0,6.0,2.0,2,2,2,1,3,1
25.0,1.0,15.0,1.0,2,0,1,5,5,1
40.0,1.0,15.0,1.0,2,2,3,5,5,1
35.0,1.0,6.0,1.0,3,0,1,5,5,1
57.0,2.0,15.0,2.0,2,2,3,5,2,1
181.0,4.0,45.0,3.0,5,0,1,3,7,1
38.0,1.0,5.0,1.0,4,1,1,5,2,1
59.1,2.0,3.0,1.0,2,1,1,6,3,1
47.0,2.0,15.0,1.0,2,0,1,5,5,1
56.0,2.0,15.0,1.0,2,1,3,5,5,1
61.0,2.0,15.0,1.0,2,0,1,5,5,1
52.0,1.0,15.0,1.0,2,0,1,5,5,1
74.0,2.0,5.0,2.0,2,1,3,5,2,1
73.0,2.0,15.0,2.0,2,0,1,5,5,1
80.0,2.0,15.0,2.0,2,2,1,5,5,1
65.0,2.0,10.0,2.0,2,1,3,2,6,1
60.0,2.0,15.0,1.0,2,2,1,5,5,1
81.0,2.0,35.0,2.0,2,0,2,1,3,1
72.0,2.0,15.0,2.0,2,0,1,5,5,1
68.0,2.0,15.0,2.0,2,1,1,5,5,1
80.0,3.0,5.0,2.0,2,1,3,4,7,1
72.25,2.0,15.0,2.0,2,1,1,5,5,1
68.0,2.0,15.0,2.0,2,1,1,5,2,1
73.0,2.0,25.0,2.0,2,2,2,1,3,1
75.0,2.0,5.0,2.0,2,0,3,7,7,1
70.12,2.0,5.0,2.0,2,2,2,1,0,1
54.0,2.0,15.0,1.0,2,1,1,5,5,1
97.0,3.0,35.0,2.0,2,2,0,1,3,1
60.0,2.0,15.0,1.0,2,0,1,5,5,1
56.0,2.0,15.0,1.0,2,0,1,5,5,1
35.0,1.0,15.0,1.0,2,0,1,5,5,1
85.0,2.0,7.0,1.0,2,2,3,1,3,1
72.0,2.0,15.0,2.0,2,1,1,5,5,1
92.0,2.0,15.0,2.0,2,0,1,7,5,1
50.0,2.0,15.0,1.0,2,0,1,5,5,1
69.2,2.0,15.0,2.0,2,0,3,6,4,1
68.0,2.0,14.0,2.0,2,2,1,7,3,1
87.0,2.0,25.0,2.0,2,1,3,7,6,1
130.0,3.0,35.0,3.0,2,2,0,1,3,1
86.0,3.0,25.0,2.0,2,2,2,6,4,1
68.0,1.0,15.0,1.0,2,0,1,5,5,1
50.0,2.0,15.0,2.0,2,0,1,5,5,1
91.0,2.0,17.0,2.0,2,1,2,2,5,1
95.0,3.0,35.0,2.0,2,1,2,1,3,1
53.0,2.0,15.0,1.0,2,2,1,5,5,1
70.12,2.0,5.0,2.0,2,2,2,1,0,1
62.0,2.0,15.0,2.0,2,2,1,7,5,1
60.45,2.0,18.0,2.0,2,1,1,6,4,1
48.0,1.0,15.0,1.0,2,2,1,5,5,1
30.0,2.0,1.0,2.0,3,2,2,3,3,1
50.0,2.0,15.0,1.0,2,2,1,5,5,1
81.0,2.0,15.0,2.0,2,2,3,5,5,1
69.0,2.0,27.0,2.0,2,1,1,2,5,1
32.0,1.0,15.0,1.0,2,0,1,5,5,1
63.0,2.0,15.0,1.0,2,2,1,5,5,1
85.0,2.0,25.0,1.0,2,2,2,5,5,1
68.0,2.0,25.0,2.0,2,1,0,6,2,1
72.0,2.0,25.0,2.0,2,1,3,0,6,1
68.0,2.0,15.0,2.0,2,1,1,5,2,1
54.0,1.0,1.0,1.0,2,2,1,3,4,1
36.0,1.0,1.0,1.0,2,2,2,3,3,1
67.0,2.0,3.0,1.0,2,2,1,7,3,1
64.0,2.0,3.0,2.0,2,2,1,3,7,1
64.0,2.0,4.0,1.0,2,2,3,2,4,1
96.0,3.0,15.0,2.0,2,2,3,7,3,1
85.0,2.0,21.0,2.0,2,2,2,1,3,1
62.0,2.0,15.0,1.0,2,0,1,5,5,1
61.0,2.0,15.0,2.0,2,1,3,4,6,1
75.0,2.0,5.0,2.0,2,0,3,7,7,1
61.0,2.0,15.0,2.0,2,1,1,3,7,1
95.0,3.0,35.0,2.0,2,1,2,1,3,1
62.0,2.0,15.0,2.0,2,2,1,5,5,1
75.0,2.0,9.0,2.0,2,1,1,2,5,1
47.0,1.0,15.0,1.0,2,1,0,7,3,1
92.0,3.0,25.0,2.0,2,1,1,0,6,1
88.0,3.0,25.0,2.0,2,2,2,3,3,1
63.0,2.0,12.0,2.0,2,2,3,7,7,1
45.0,2.0,3.0,1.0,2,2,2,7,3,1
45.0,2.0,2.0,1.0,2,2,2,7,3,1
45.0,2.0,2.0,1.0,2,2,2,7,3,1
87.0,3.0,10.0,2.0,2,2,1,4,6,1
82.0,2.0,25.0,2.0,2,2,2,3,3,1
98.0,2.0,35.0,2.0,2,1,2,4,7,1
71.0,2.0,25.0,2.0,2,2,1,0,6,1
77.0,2.0,23.0,2.0,2,2,3,3,3,1
88.0,3.0,7.0,2.0,2,2,3,0,0,1
54.0,1.0,20.0,1.0,2,2,0,1,1,1
83.0,2.0,25.0,2.0,2,0,3,6,4,1
35.0,1.0,6.0,1.0,0,2,1,4,6,1
65.0,2.0,15.0,1.0,2,0,1,5,5,1
54.0,2.0,15.0,1.0,2,2,1,5,2,1
55.0,2.0,15.0,2.0,2,0,1,5,5,1
68.0,2.0,15.0,2.0,2,1,1,5,2,1
70.12,2.0,5.0,2.0,2,2,2,1,0,1
68.0,2.0,15.0,1.0,2,2,2,5,5,1
70.0,2.0,15.0,2.0,2,0,1,5,5,1
55.0,2.0,15.0,1.0,2,0,1,5,5,1
67.0,2.0,15.0,2.0,2,1,1,3,7,1
35.0,1.0,5.0,1.0,0,2,1,4,6,1
64.0,2.0,20.0,2.0,2,1,1,1,5,1
21.0,3.0,3.0,2.0,2,2,1,5,5,1
60.0,2.0,11.0,2.0,2,1,1,2,2,1
54.0,2.0,14.0,1.0,2,1,1,5,2,1
30.0,2.0,15.0,2.0,0,0,1,5,7,1
58.1,2.0,15.0,2.0,2,0,1,5,5,1
58.0,2.0,15.0,2.0,2,2,1,2,5,1
62.0,2.0,23.0,2.0,2,0,1,2,5,1
77.12,3.0,15.0,2.0,2,0,1,5,5,1
115.0,2.0,11.0,2.0,2,2,0,1,3,1
70.0,2.0,12.0,2.0,2,1,1,3,7,1
51.0,2.0,15.0,2.0,2,0,1,5,5,1
62.2,2.0,15.0,2.0,2,1,2,5,7,1
47.0,1.0,15.0,1.0,2,1,1,5,5,1
50.0,1.0,35.0,1.0,2,1,2,1,3,1
85.0,3.0,15.0,2.0,2,0,1,1,0,1
25.0,1.0,15.0,1.0,2,0,1,5,5,1
83.0,2.0,25.0,2.0,2,2,2,3,6,1
55.0,2.0,15.0,2.0,2,0,1,5,5,1
50.0,1.0,10.0,1.0,2,1,2,5,1,1
92.0,1.0,2.0,2.0,2,1,0,1,3,1
104.0,3.0,35.0,2.0,2,2,3,1,6,1
69.0,2.0,35.0,1.0,2,0,0,1,3,1
73.0,2.0,35.0,1.0,2,2,0,1,3,1
69.0,2.0,25.0,1.0,2,0,2,1,3,1
32.0,1.0,15.0,1.0,2,1,1,5,5,1
69.4,2.0,3.0,2.0,2,1,1,5,2,1
79.0,3.0,15.0,2.0,2,1,1,7,6,1
56.0,2.0,15.0,1.0,2,2,1,5,5,1
72.0,2.0,5.0,2.0,2,2,3,4,7,1
32.0,1.0,7.0,1.0,2,1,1,5,5,1
65.0,2.0,15.0,2.0,2,2,1,5,5,1
79.0,2.0,35.0,2.0,2,1,2,1,3,1
45.0,1.0,15.0,1.0,2,1,3,7,4,1
140.0,3.0,35.0,2.0,2,2,3,5,4,1
85.0,3.0,15.0,2.0,2,0,1,5,5,1
34.0,1.0,15.0,1.0,2,2,1,5,5,1
63.0,2.0,15.0,2.0,2,1,1,5,5,1
65.0,2.0,15.0,2.0,2,0,1,5,5,1
62.0,2.0,15.0,2.0,2,2,1,5,5,1
54.0,2.0,15.0,1.0,2,2,1,5,2,1
62.0,2.0,15.0,2.0,2,2,1,7,5,1
55.0,2.0,15.0,2.0,2,0,1,5,5,1
72.25,2.0,15.0,2.0,2,1,1,5,5,1
